latitude,longitude,waterfallok,ad_attempts,ad_opportunities,impressions,start,complete
38.94,-76.99,22,408,46,41,41,41
29.71,-98.48,11,162,10,8,8,7
35.61,-89.29,9,155,15,13,13,13
40.18,-92.62,31,411,21,11,11,10
33.33,-105.67,2,61,4,4,4,4
32.65,-83.65,32,479,48,38,38,36
42.31,-71.19,22,357,22,20,20,20
43.54,-71.39,6,85,1,1,1,1
37.18,-94.29,34,554,44,37,37,35
35.1,-106.67,13,193,8,7,7,6
39.78,-104.84,19,293,25,21,21,19
41.69,-111.81,66,934,32,28,28,28
34.11,-117.59,26,490,50,30,29,29
46.75,-71.7,15,147,23,23,23,22
40.78,-74.06,59,1177,178,173,173,161
44.35,-78.34,75,847,81,73,72,65
35.48,-95.17,2,37,4,4,4,4
42.97,-81.21,50,522,19,16,15,15
43.06,-83.62,40,653,84,73,73,72
-27.57,153.13,95,1187,112,110,108,108
40.19,-74.44,13,161,5,2,2,1
-27.69,153.08,120,1147,10,9,7,6
-37.83,144.97,184,2008,103,100,100,94
-33.9,150.93,221,2179,48,47,47,46
-31.98,115.87,121,1618,140,101,85,71
-27.63,153.23,12,120,1,1,1,1
37.72,-121.09,25,381,25,17,17,16
-27.5,152.95,18,192,9,9,9,8
-33.85,151.15,14,188,23,23,23,23
-27.31,152.95,23,232,13,11,10,10
-13.07,143.4,53,562,37,36,36,35
-37.7,145.06,107,1418,158,153,152,148
44.21,-79.07,2,31,6,6,6,6
-37.98,145.13,86,816,11,11,11,10
45.88,-87.05,13,189,14,13,13,12
38.31,-121.54,1,14,,,,
-37.97,145.05,91,1055,71,66,65,65
42.78,-84.58,44,659,109,104,104,99
45.42,-75.7,115,1259,74,72,70,69
40.98,-73.69,17,262,17,17,17,16
-34.93,138.56,31,351,23,22,21,21
41.41,-75.62,17,271,48,42,42,40
33.01,-96.62,7,114,14,12,12,12
39.05,-76.91,108,1612,131,105,105,99
32.84,-105.99,29,434,33,24,24,24
36.97,-90.27,1,14,2,1,1,1
42.97,-88.1,30,620,100,89,89,87
41.34,-75.99,61,912,40,28,28,27
41.54,-81.57,43,848,152,136,136,132
32.87,-117.25,30,510,37,32,32,31
41.9,-85.03,56,858,60,42,41,40
46.73,-117.25,47,824,60,49,49,46
49.1,-123.03,36,363,3,3,3,3
44.35,-74.1,8,230,35,29,29,28
42.2,-73.94,20,272,22,13,13,12
36.39,-82.45,49,761,117,107,107,104
45.52,-73.55,59,774,81,81,81,79
39.22,-84.65,28,471,41,37,37,37
36.82,-119.76,42,652,63,52,52,51
39.74,-105.02,82,1211,130,110,108,105
33.82,-96.72,4,88,11,10,10,10
45.42,-71.89,108,1100,84,82,82,76
41.4,-91.03,49,835,96,81,81,78
45.49,-73.63,82,870,43,43,42,40
38.88,-77.11,4,51,6,6,6,6
42.54,-71.03,79,1248,64,49,49,47
29.98,-93.96,20,370,30,26,26,24
38.73,-77.06,33,528,53,49,49,49
32.29,-88.59,25,391,38,30,30,28
28.1,-82.27,23,325,22,19,19,15
35.57,-80.89,91,1420,132,103,102,102
42.89,-84.01,15,234,28,24,24,24
39.88,-83.83,63,917,82,70,70,64
39.9,-75.35,65,998,54,43,41,40
35.07,-80.53,188,2794,188,145,143,138
40.03,-76.5,10,140,6,3,3,3
29.87,-95.57,67,1073,73,55,55,50
31.85,-111.06,35,574,34,29,29,29
44.9,-94.41,30,464,47,19,19,19
34.15,-118.5,26,457,27,24,24,24
40.82,-74.22,68,2057,394,377,377,369
38.55,-121.38,72,1175,82,69,69,67
39.74,-90.24,35,455,43,36,36,27
45.63,-110.9,7,104,9,7,7,7
29.61,-82.07,47,743,95,50,47,44
46.41,-120.23,16,240,48,46,46,45
32.88,-96.7,42,764,69,54,54,48
35.03,-85.23,33,542,27,22,22,22
29.52,-90.31,25,387,35,22,22,21
43.45,-86.35,21,429,49,34,34,31
48.14,-98.89,9,118,7,7,7,6
44.83,-109.11,17,243,19,9,9,9
39.68,-104.91,25,457,44,40,40,39
40.7,-73.96,127,1944,126,100,98,96
30.06,-90.73,5,123,10,7,7,7
33.39,-111.64,44,790,76,55,55,54
